ARCHER-DANIELS MIDLAND FOUNDATION,41-6023126,,,
Arconic Foundation (Previously Alcoa Foundation),,http://www.arconic.com/foundation/en/home.asp,,
ARGUS FUND,20-5045447,,,
Arrison Family Charitable Foundation,,,,
Arthur L. & Elaine V. Johnson Foundation,,,,
Audrey & J J Martindale Foundation,84-1481970,,,
August J. Galasso Foundation,,,,
AutoZone,62-1472704,http://www.autozoneinc.com/about_us/community_relations/charitable_giving_guidelines.html,,
Aviano,,,,aocscphilanthropic@gmail.com
B'nai B'rith Gideon Foundation,,,,
"Baker Tilly Virchow Krause, LLP",,http://www.bakertilly.com/,,
Bamberg,,,,bsccpresident@gmail.com
Banc of California,,https://www.bancofcal.com/community-development/index/3004,,
Bannerot-Lappe Foundation,,,,
Baptist Health Foundation,,https://bhfsa.org/,210-735-9009,
Barbara McDowell and Gerald S. Hartman Foundation,27-0411226,,,
Bares Foundation,,,,
Barksdale AFB,,,,charitable.bosc@gmail.com
BARRY L AND PAULA M DOWNING FOUNDATION,48-1134459,,,
Bauer Family Foundation,,,,
Bavaria,,,,grants@bavariacsc.com
Baxter Credit Union,23-7250155,bcu.org,,
BAY AND PAUL FOUNDATIONS INC,13-1991717,,,
Baylor Scott & White Health,46-3131350,www.baylorscottandwhite.com,,
Beaumont Health,,,,
Bellingham Bay Rotary,,,,
Ben and Jerry's Foundation,,,,
Ben Cohen Charitable Trust,03-0368595,,,
Berkshire Taconic Nonprofit Grants,06-1254469,,,
Beztak Properties,,http://www.beztak.com/,(248) 855-5400,
BLUE CROSS AND BLUE SHIELD OF MICHIGAN FOUNDATION,38-2338506,http://www.bcbsm.com/foundation,,
BNY Mellon (Hong Kong Branch),,https://www.bnymellon.com/hk/en/,+852 2840 9888,
Board Lead,,,,
Bob Woodruff Foundation,,https://bobwoodrufffoundation.org/grants/,,
Boeing South Carolina ECF (Employees Community Fund),,,,
Bomel Construction,,http://www.bomelconstruction.com/contact_overview.php,Tel. 714.921.1660,info@bomelconstruction.com
Bon Appetit,,,,
Brand Via,,,,
BRIC MEDIA SHARE,,https://goo.gl/KqDS37,,
Bristol County District Attorney,,,508-961-1973,Eric.M.Poulin@state.ma.us
BRISTOL COUNTY SAVINGS CHARITABLE FOUNDATION INC,04-3332966,https://www.bristolcountysavings.com,,
Bruce Kovner Foundation,,http://www.thekovnerfoundation.org/,,
Bruton Parish Episcopal Church,,http://www.brutonparish.org/mission_and_outreach/article144928c7774213.htm,(757) 229-2891,brutonparishmissionandoutreach@gmail.com
Buckley AFB,,,,BuckleySpousesGroup@msn.com
Bureau of Justice Assistance,,,,
Business Advisory Centre Northumberland,,http://www.businessadvisorycentrenorthumberland.ca/tims-test-starter-company-page,905.372.9279,bizhelp@northumberlandcounty.ca
BYN Mellon Mid-Atlantic Charitable Trusts,,,,yolanda.arnold@bnymellon.com
C Walker and Bonnie Cross Charitable Foundation,74-2352585,,,
Caldwell Community Foundation,,,,deb@cpaforyou.net
CALIFORNIA HEALTH CARE FOUNDATION,95-4523231,http://www.chcf.org,510.238.1040,grants@chcf.org
Camp Lejeune,,,,charitabledistroclosc@gmail.com
Cannon AFB,,,,CannonSpouseClub@gmail.com
Carlisle Barracks,,,,
Casey Family Programs,91-0793881,http://www.casey.org/,,
Catholic Campaign for Human Development (CCHD),,,,
Catholic Campaign for Human Development CCHD,,,,
Cavalier Air Force Station,,,,scholarships@vandenbergspousesclub.org
CDCR,,,916- 327-6389,jill.brown@cdcr.ca.gov
CELANI CHARITABLE FOUNDATION INC,38-3544723,,,
CFED,,,,
CHAMBER MUSIC AMERICA INC,13-2934575,http://www.chamber-music.org/,,
CHARLES AND LYNN SCHUSTERMAN FAMILY FOUNDATION,73-1312965,,,
Charles E. Freauff Foundation,,,,
Charles Evans Hughes Memorial Fund,,,,
CHARLES H REVSON FOUNDATION INC,13-6126105,,,
Charles H. Revson Foundation,13-6126105,http://revsonfoundation.org/,(212) 935-3340,info@revsonfoundation.org
Charles M & Mary D Grant Foundation,13-6264329,,,
Charles M Bauervic Foundation Inc,38-6146352,,,
Charles M. Bair Family Trust,,http://charlesmbairtrusts.org/,(406) 657-8139,
Charles Schwab,,https://www.aboutschwab.com/community,,
Charleston AFB,,,,
Chattanooga Housing Authority,,,,
Chemical Bank Foundation,46-2220813,,,
Cherry Creek Has Heart at Merrill Lynch,,,3034555600,wendy@groundworkcolorado.org
Cherry Point,,,,cbsoutreach@gmail.com
"Chester County Community Foundation, Inc.",23-2773822,http://www.chescocf.org,610-696-8211,
Cheyenne Co. CF,,http://www.gnwkcf.org,,
Children's Foundation of Erie County,,,,
Children's Guild Foundation,,,,
Christopher and Dana Reeve Foundation,22-2939536,http://www.ChristopherReeve.org,800-2250292,
Chuck Collins [creator of United for a Fair Economy],,,,
Circuit Court of Cook County,,,,
City Bridge Foundation,,www.citybridge.org,,
City of Lacey,,,,
City of Manhattan Beach,,,,
City of Santa Monica,,,,
City of Tumwater,,,,
Clinton Family Fund,36-3994361,,,
Cloudsplitter Foundation,22-2784895,,,
Columbus AFB,,,,
Comcerica Wealth & Institutional Management,,,,
Commonwealth Council on Aging,,,,
Commonwealth Virginia Campaign,,http://www.cvc.virginia.gov/index.html,,CVCStaff@dhrm.virginia.gov
Community Financial Credit Union,,,,
Community Foundation for Greater Buffalo Inc,22-2743917,http://www.cfgb.org,716-852-2857,
Community Foundation for Southeast Michigan,38-2530980,http://www.cfsem.org/,313-961-6675,
Community Foundation of Grand Forks East Grand Forks and Region,45-0448088,gofoundation.org,701-746-0668,
Community Foundation of Greater Buffalo,,,,
"Community Foundation of Greater Memphis, Inc.",58-1723645,www.cfgm.org,901-722-0056,
Community Foundation of Northwest Georgia,,,,
Community Foundation of Snohomish County/Greater Everett Community Foundation,94-3188703,http://www.cf-sc.org/,425-212-4056,
CONSUMERS ENERGY FOUNDATION,38-2935534,,,
COOPER STANDARD FOUNDATION INC,46-2610373,,,
"Corporation for National & Community Service (CNCS, AmeriCorps)",,https://www.nationalservice.gov/,,RJohnson@cns.gov
"Costco, Foundation",91-1799391,,,
Council on Library and Information Resources,,,,
County of Los Angeles - 3rd District,,,,
County of San Luis Obispo CBO/PHG,,,-805,
COYPU FOUNDATION,58-1795856,,,
CTW FOUNDATION INC,51-6011637,,,
CUNY Service Corps,,,,
Cupid Foundation,26-1300940,,,
Daegu/Camp Walker,,,,tyndallspousesclub@gmail.com
DANIEL K THORNE FOUNDATION INC,13-3857951,,,
David & Candace Weir Foundation,,,,
DAVID BERG FOUNDATION INC,13-3753217,,,
David Lincoln,,,,
"David Rubinstein, Carlyle Group",,,,
Davis-Monthan AFB,,,,
Dawkins Charitable Trust,,,,dawkinscharitabletrust@gmail.com
DCED,,,,
DEAN E AND BARBARA J RICHARDSON FOUNDATION,20-5132169,,313-223-3090,
DECK FAMILY FOUNDATION INC,48-6105172,,940-367-0025,
DEED at State of Mn,,,,
Deer Creek High School,,http://www.deercreekschools.org,405-348-5720,
Deloitte,,https://www2.deloitte.com/us/en/footerlinks/submit-rfp.html?icid=bn_submit-rfp,714 436 7100,
Delta Gamma Partners For Sight Foundation,,,,
Deluca,,,,
Democracy Alliance,,http://democracyalliance.org,,
Denso North America Foundation,38-3547055,,,
Department of Developmental Services,,,,DDSPOSProcurement@state.ma.us
Department of Health/Human Services-CDC,,,,
Deroy Testamentary Foundation,38-2208833,,,
DFT Communications,,,716-673-3017,
Dickinson Wright,,http://www.dickinson-wright.com/,,
Dillard Foundation,13-3318226,,,
DILLER VON FURSTENBERG FAMILY FOUNDATION,46-1581956,http://dvfff.org,,
Discovery Education,,,,
Dolores and Paul Lavins Foundation,38-3426007,,,
Domino Sugar,,,,
Dormitory Authority of the State of New York,,,,
Dover AFB,,,,
DR JOHN T MACDONALD FOUNDATION INC,59-0818918,,,
Dresner Foundation,20-5838578,http://www.dresnerfoundation.org/,,
DTE ENERGY FOUNDATION,38-2708636,,313.235.9271,foundation@dteenergy.com
Duffy Foundation,38-2908719,,,
Duncan Family Trust,20-0905873,http://www.duncanfamilytrust.org/,(402) 419-0070,Connie.Duncan@DuncanAviation.com
Dyer-Ives Foundation,38-6049657,,,
Dyess AFB,,,,cherrypointoscassistance@gmail.com
E Nakamichi Foundation,95-3870341,,,
EARL AND BRENDA SHAPIRO FOUNDATION,45-0524597,,,
Earth Friendly Products,,,,
East Bay Coast Guard Spouses C.,,,,
Ebersbach Charitable Trust,,,,
Eco Media,,,,info@ecomediacbs.com
Edith W Macguire Charitable Trust,31-1627048,,,
Edmond High School,,http://memorial.edmondschools.net,405-340-2850,
Edmond North High School,,http://north.edmondschools.net,405- 340-2875,
Edmond Santa Fe,,http://www.santafe.edmondschools.net,,
EDSEL B FORD II FUND,38-3153050,,,
EDWARD K LOVE CONSERVATION FDN,43-6022352,,,
Edwards Air Force Base,,,,
EGL Charitable Foundation,27-3667312,,,
Eglin AFB,,,,
Eielson AFB,,,,charitable@dmosc.org
Eleanor a and Bernard H Breedlove Foundation,57-1005761,,,
ELIZABETH ALLAN & WARREN SHELDEN FUND,38-6052198,,,
Ellsworth AFB,,,,grants.zacsa@gmail.com
Elsie P. and Lucius B. McCowan Private Foundation,,,,
Employees Community Fund of Boeing St Louis,43-6023034,,,
Environmental Affinity Group at Denver Foundation,,,,
Epic Foundation,47-1191096,https://epic.foundation/en,(646) 759 7481,
Erwin & Isabelle Ziegelman Foundation,38-2831525,,,
ESG,,,,
ExxonMobil,,https://www.exxon.com/en/educational-alliance,,ExxonMobil@easymatch.com
F Ross Birkhill and Laura Jean Birkhill Family Foundation,41-2184583,,,
Fairchild AFB,,,,doverosu@yahoo.com
Fallen Angels Foundation Inc,22-3830268,,,
FANWOOD FOUNDATION,13-6051922,,,
Faye L. & William L. Cowden Charitable Foundation,,http://broadwaybank.com,210-283-6500,
FCA FOUNDATION,38-6087371,,,
FCYO Funders' Collaborative on Youth Organizing,,https://fcyo.org/,,
FEMA - Oregon Emergency Management,,,,
Ferguson Electric Foundation,,,,
Festus and Helen Stacy Foundation,,http://www.fsfnd.org,954-776-3386,sbizzell@fsfnd.org
Fifth Third,31-6024135,,,
First American Title,,,,
First Centenary Church,,,,
First Focus,81-3185002,https://firstfocus.org/,(202) 657-0670,
First Nonprofit Foundation,,,,
First Tennessee,,,,
Foothills Community Foundation,58-2453349,www.foothillscommunityfoundation.org,864-,
Fort Belvoir,,,,dscwelfare@gmail.com
Fort Benning,,,,Eastbayspouses@gmail.com
Fort Bliss,,,,info@EdwardsOSC.com
Fort Bragg,,,,eglinspousesclub@gmail.com
Fort Campbell,,,,eielsonakosc@yahoo.com
Fort Carson,,,,
Fort Drum,,,,
Fort Eustis,,,,boscphilanthropy@gmail.com
Fort Gordon,,,,scholarship@fortbenningcsc.org
Fort Hamilton,,,,communitygiving@sabliss.org
Fort Hood,,,,FortBraggABS@gmail.com
Fort Huachuca,,,,infofortcampbellspousesclub@gmail.com
Fort Irwin,,,,welfare@mpsc.us
Fort Jackson,,,,yoscwelfaretreasurer@gmail.com
Fort Knox,,,,
Fort Leavenworth,,,,SCFEWelfare@gmail.com
Fort Lee,,,,grants@FGSCC.com
Fort Leonard Wood,,,,
Fort Meade,,,,FHOSC.Website@gmail.com
Fort Monmouth,,,,welfareusafasc@gmail.com
Fort Myer,,,,secondvp@mcscftirwin.org
Fort Polk,,,,secretary.vsc1@gmail.com
Fort Riley,,,,communitygrantsfkscc@gmail.com
Fort Rucker,,,,communityassistance@fortleavenworthspousesclub.org?
Fort Sam Houston,,,,FLASCwelfare@gmail.com
Fort Shafter,,,,presidentfwcsc@gmail.com
Fort Sill,,,,WPSCcommunityoutreach@gmail.com
Fort Stewart,,,,president.ftmosc@gmail.com
Fort Wainwright,,,,20755donationrequest@ftmeadeesc.org
Foundant Test Foundation,21-1234567,,,
FRANK EDMONSON FOUNDATION,56-2557308,,,
Freas Foundation Inc,22-1714810,,,don@donfreas.com
Fred A and Barbara M Erb Family Foundation,20-5966333,erbff.org,248-498-2501,
Fred L. Emerson Foundation,,,,
Frederick A Vollbrecht Foundation,38-6056173,,,
Frontier Natural Products Co-Op (Simply Organic),,,,sogrants@frontiercoop.com
FULCRUM FOUNDATION,23-3081735,,,
FULLERTON FAMILY CHARITABLE TRUST,68-0262543,,,
Fulton County Arts Council,,http://www.fultonarts.org,404-612-5780,
Fulton County Community Services Program,,http://www.fultoncountyga.gov/fchhs-divisions-and-programs/grants-and-community-partnerships,,
Fund for Lake MI,,,,
Fund II Foundation,47-2396669,,,
Funder A,,,,
Funds for INDIGENOUS RIGHTS AND THE ENVIRONMENT,,,,
Gartner,,http://www.gartner.com,,
Gateway Rotary Club of Thurston County,,http://www.gatewayrotary.net/,,Doug@dougmahassociates.com
Gebbie Foundation Inc,16-6050287,http://gebbie.org,716-487-1062,
GELSON FOUNDATION,23-7018409,,,
Genevieve and Ward Orsinger Foundation,74-2832873,https://www.orsingerfoundation.org,210-5900535,
GEORGE S AND HELEN G DEFFENBAUGH FOUNDATION,38-3117862,,,
Germantown Relief Society,,http://www.germantownreliefsociety.org/about,,germantownrelief@gmail.com
GILCHRIST FOUNDATION,42-6578668,,,
Girls Rights Project,52-2364195,http://www.girlsrightsproject.com,650-799-0981,s.keare@gmail.com
GLADYS KRIEBLE DELMAS FOUNDATION,51-0193884,http://www.delmas.org/,(212) 687-0011,info@delmas.org
Glenn and Carol Pearsall Adirondack Foundation Inc,14-1827199,http://www.pearsallfoundation.org/,,info@pearsallfoundation.org
Gottleib,,,,Jan.Leonard@umb.com
Grand Forks AFB,,,,wscwelfaretreasurer@gmail.com
Grand View PTA,,,,
Grant Professionals Certification Institute,59-3779662,http://www.grantcredential.org/,913-788-3000,
Grigg Lewis Foundation,,,,
Grigg Lewis Foundation Inc,16-1550858,,,
GROSFELD FOUNDATION,38-2575307,,,
Groundwork USA,,,,
"GuideStar USA, Inc.",54-1774039,,202-637-7606,
Hannon Law Firm,,,,
Hanscom AFB,,,,
Hart Family Fund for Historic Preservation,,,,
Hart-Oeland Foundation,57-1062433,,,
Harte Foundation,,,,
Hauser Foundation Inc,11-0016142,,,
HAWLEY FAMILY FOUNDATION,84-1224613,,,
Health Foundation for Western & Central NY,,,,
HELEN AND RITTER SHUMWAY FOUNDATION,16-6538147,,,
Helen L Kay Charitable Trust,38-3047073,,,
Henry E & Consuelo S Wenger Foundation Inc,38-6077419,,,
HENRY FORD II FUND,38-6066332,,,
Herbert A. and Adrian W. Woods Foundation,,,,
Herbert and Elsa Ponting Foundation,38-6058868,,734-668-4100,
HERRICK FOUNDATION,38-6041517,,,
HFF FOUNDATION,38-3149105,,,
Hickam AFB,,,,
Hilda and Preston Davis Foundation,,,,
Hill AFB,,,,president.frsc@gmail.com
"HINRI-Healthcare Institute for National Renewal and Innovation, The",,http://www.HINRI.org,404-775-0404,Ross@HINRI.org
Hohenfels,,,,
Holliday Foundation,13-4152690,,,
Holloman AFB,,,,Scfshagrants@gmail.com
HOMER SKELTON CHARITABLE FOUNDATION,62-1578268,,,
HONIGMAN FOUNDATION INC,38-6059254,,,
Honigman Miller Schwartz & Cohn LLP,,,,
Houston Arts Alliance,74-1946756,www.houstonartsalliance.com,,
Howard Bayne Fund,13-6100680,,,
Hudson-Webber Foundation,38-6052131,Hudson-Webber.org,313-9637777,
Humanities New York,,humanitiesny.org,212.233.1131,
Hunter Army Airfield,,,,huiowahinepresident14@gmail.com
Hunter Group,,,(248) 645-1551,
Huntington Bank,,,,
Hurlburt AFB Spouse Club,,,,
Hyundai Hope On Wheels,26-0628722,https://www.hyundaihopeonwheels.org,714-9653584,
Idaho Office of Drug Policy,,,208-854-3043,Marianne.king@odp.idaho.gov
IGT Community Giving,,https://www.igt.com/en/explore-igt/about-igt/global-responsibility,,
Illesheim,,,,tidewaterosacharities@gmail.com
IMPACT 100 PHILADELPHIA,80-0177821,http://www.impact100philly.org,,
Impact100 at Denver Foundation,,http://www.impact100metrodenver.org/,,
"Ingram Micro, Inc.",,,,
Intercity Transit,,,,
International Institute of Islamic Thought,23-2202414,http://www.iiit.org,,
International Women's Media Foundation,,,,
Irving Moskowitz Foundation,,,,
Itau - Programa Ecomudança,,https://www.itau.com.br/sustentabilidade/riscos-e-oportunidades-socioambientais/ecomudanca/,,
Ivivva,,,,
J Calhoun Pruitt Sr Foundation,20-6841054,http://www.pruittandpruitt.com,864-224-3121,
J E & Z B BUTLER FOUNDATION INC,13-6082916,http://www.butlerfoundation.org/,212 888-5151,pdg@butlerfoundation.org
J E Fehsenfeld Family Foundation Inc,35-2091086,,,
J M KAPLAN,13-6090286,http://www.jmkfund.org/,,
J.M McDonald Foundation,,,,
J.M. Kaplan Fund - Innovation Prize,,http://www.jmkfund.org/introduction2017-j-m-k-innovation-prize/2017-j-m-k-innovation-prize/,,JMKInnovationPrize@jmkfund.org
Jack Ma Foundation,,http://jackmafoundation.org/,,
James and Lynelle Holden Fund,38-6052154,,,
JAMES FAMILY CHARITABLE FOUNDATION,13-7051493,,,
James Glynn Foundation,,,,
James H. Cummings Foundation,,,,
Janssen Biotech Inc.,,,,
JB McGuire-Dix,,,,FSPSCScholarship@yahoo.com
JE & ZB Butler Foundation,,,,
Jerome Westheimer Family Foundation,73-1267603,,,
Jeskaf Family Foundation,,,,
Jim and Patty Rouse Charitable Foundation Inc,52-6074744,,,
Jim Casey Foundation,,,,
JOANNA FOUNDATION,57-0314444,,,
Joey Logano Foundation,45-2464294,http://joeyloganofoundation.com/,,
JOHN A & MARLENE L BOLL FOUNDATION,38-2708121,,,
JOHN A SCHROTH FAMILY CHARITABLETRUST,20-7470868,,,
John and Maria Laffin Trust,,https://www.wellsfargo.com/private-foundations/laffin-trust,,
JOHN AND PATRICIA KLINGENSTEIN FUND,13-4062589,,,
John E Fetzer Institute Inc,38-6052788,,,
Johnny Carson Foundation,20-5885752,,,
JOHNSON FOUNDATION,38-2706960,,,
Johnson Scholarship Foundation,,,,
Joint Base - Anacostia-Bolling,,,,president@marnecommunityclub.com
Joint Base Elmendorf-Richardson,,,,CSCWelfareFWW@gmail.com
Joint Base Lewis McChord,,,,
Joint Base Peterson Schriever,,,,honorarypres@hanscomsc.org
Joseph and Anna Gartner Foundation,,,,
JOSEPH HENRY EDMONDSON FOUNDATION,84-1090456,,,
Josephine Goodyear Foundation,,,,
JOSEPHINE HERBERT GLEIS FOUNDATION,33-0876494,https://fconline.foundationcenter.org/grantmaker-profile/?collection=grantmakers&activity=result&key=HERB021&view_format=standard,949-721-2100,
JOSEPHINE KLEINER FOUNDATION,20-6370506,,,
Joukowsky Family Foundation,,,,
Junior League of Hampton Roads Inc,54-0566800,http://WWW.JLHR.ORG,(757) 873-0281,volunteer@jlhr.org
Kadena,,,,info@hickamosc.com
Kaiserslautern Landstuhl,,,,hickamesc@yahoo.com
Karen Colina Wilson Foundation,20-5336111,,,
Katherine McFate,,,,
Keesler AFB,,,,hillosc@gmail.com
Kelly for Kids Foundation,,,,
KEMMONS WILSON FAMILY FOUNDATION,62-6046687,,,
Kenneth L. and Katherine G. Koessler Family Foundation,,,,
Kideney Architects,,http://kideney.com/,(716) 249-3837,info@kideney.com
Kinecta,,,,Corporate.Communications@kinecta.org
Kirby Family Foundation,25-1513507,,,
Kirtland AFB,,,,welfare@hohenfelscsc.com
KLEINSCHMIDT FAMILY FOUNDATION,27-0112179,,,
KUOW,,www.kuow.org,,lwang@kuow.org
Kyrias Foundation,,,,
L P Brown Foundation,62-6036338,,,
L R BAUMAN FOUNDATION INC,47-1312674,,,
LA Car Guy,,,,
LA Kings Care Foundation,95-4443065,,(310) 535-4467,
Lackland AFB,,,,HOSCscholarships@gmail.com
Lagunitas Community Grant Program,,,,
Langley AFB,,,,president@marnecommunityclub.com
Laughlin AFB,,,,McChordSpousesClub@gmail.com
Laura B. Volger Foundation,,,,
Laura Jane Musser Fund Next Generation Program,,http://www.musserfund.org/index.asp?page_seq=36,,
LAUREL FOUNDATION,25-6008073,,,
Lavelle Fund for the Blind,,,,
LAWRENCE M GELB FOUNDATION INC,13-6113586,,,
Lawyers Club of San Diego,,,,
Leadership Tech Valley Class Service Project,,,,
LEO COX BEACH PHILANTHROPIC FOUNDATION,14-1732259,,518-792-3146,
Leonardo DiCaprio Foundation (LDF),,http://leonardodicaprio.org/about/,,
Leroy Warner Fund,,,,
Les Dames d'Escoffier Seattle,,http://www.lesdamesseattle.com/Green-Tables,,seattlegreentables@lesdamesseattle.com
Lewis Wilmot Fund Charitable Trust,,,,
Life Storage Inc.,,http://www.lifestorage.com,1-800-242-1715,
Lincoln & Therese Filene Foundation,,https://filenefoundation.org,,
Lions Club of Buffalo,,,,
Little Rock AFB,,,,hsc.presid@gmail.com
Lockport Rotary Foundation,,,,
Logistics Plus,,http://logisticsplus.net,814-461-7600,
Loprete Family Foundation,20-3641412,,,
Loraine and Melinese Reuter Foundation,20-1535256,,,
Louis J Appignani Foundation Inc,65-1124881,,,
Lowe's Toolbox for Education,,http://toolboxforeducation.com/home,1-800-644-3561 x7,info@toolboxforeducation.com
Lozier Foundation,94-3027928,http://www.lozier.com/,(402) 457-8160,
Lucile Packard Foundation for Children's Health,77-0440090,http://www.lpfch.org/cshcn/grants,,
LUCIUS N LITTAUER FOUNDATION INC,13-1688027,,,
Ludlow Foundation,91-0971634,http://www.ludlowfoundation.org,,
Luke AFB,,,,
Lula C Wilson Trust National Bank of Detroit TTEE,38-6058895,,,
MacDill AFB,,,,MDLSpouses@gmail.com
MADELEINE AND MANDELL L BERMAN FOUNDATION,38-6644875,,,
Maki Foundation,84-0836242,,,
MALKIN FUND INC,13-3749046,,,
Malmstrom AFB,,,,charitable@richardsonspousesclub.com
Manhattan Beach Downtown Business Association (MBDBA),,,(310) 379-9901,
Manhattan Beach Unified School District,95-6002011,,,
March of Dimes NYS Community Grants,,http://www.marchofdimes.org,585-286-5866,Ddreyer@marchofdimes.org
Marconi Automotive Museum,,,(714) 258-3001,
Margaret L. Wendt Foundation,,,,
Maria Love Convalescent Fund,,,,
Maria M Love Convalescent Fund,16-1609169,WWW.MARIALOVEFUND.ORG,,
Marian Pink and Happ Fund,,https://www.wellsfargo.com/private-foundations/happ-fund/,,
Marine Barracks,,,,
Marine Corps Logistics Base Albany,,,,pscspousesclub@gmail.com
MARINE VENTURES FOUNDATION INC,52-2297698,,,info@marineventures.org
Marvin and Betty Danto Family Foundation,20-3896742,,,
Masco Corporation Charitable Trust,38-6043605,,,
Mass Humanities,,http://masshumanities.org/,,
Mass Mentoring,,,,
MATILDA R WILSON FUND,38-6087665,,,
Max M & Marjorie S Fisher Foundation Inc,38-1784340,http://www.mmfisher.org,,
MAXINE AND STUART FRANKEL FOUNDATION,38-3445379,,,
Maxwell Gunter AFB,,,,charitable@kadenaosc.org
MCAS Beaufort,,,,afsc.awp@gmail.com
MCAS Kaneohe,,,,welfare.klsa@gmail.com
MCAS Miramar,,,,KSCWelfare@gmail.com
MCAS New River,,,,KSCVPWelfare@gmail.com
MCAS Yuma,,,,lacklandsccharitable@gmail.com
McConnell AFB,,,,langleyosc@gmail.com
McGregor Fund,38-0808800,,,
MCRD Parris Island,,,,welfarelrsc@gmail.com
MEAD FAMILY FOUNDATION,52-1646030,,,
MELVIN AND MILDRED EGGERS FAMILY CHARITABLE FOUNDATION,16-1490519,,,
MENTOR Network Charitable Foundation,,,,
MEYER AND ANNA PRENTIS FAMILY FOUNDATION INC,38-6090332,,,
Michael and Jeanette Bidart Family Foundation,47-2048048,,909-621-4935,
Michael Pender Memorial Fund of the Cleveland Foundation,,,,kp@momshrink.com
Michigan Council for Arts and Cultural Affairs,,http://www.michiganbusiness.org/community/council-arts-cultural-affairs/,517.241.4011,
MICHIGAN STATE UNIVERSITY FOUNDATION,23-7326030,http://WWW.MSUFOUNDATION.ORG,,
Microbreweries for the Environment,,https://www.facebook.com/pg/Microbreweries-for-the-Environment-260386737361592/about/?ref=page_internal,,thinkglobaldrinklocal@gmail.com
Midwest Energy,,,,
Military Spouse Association of Camp Pendleton,,,,president@msa-cp.org
Miller Canfield,,https://www.millercanfield.com/offices-Detroit.html,,
MILLER OIL FOUNDATION,20-1258584,,,
Minot AFB,,,,lukeosccharitable@gmail.com
Misawa,,,,
MISSION HOSPICE FOUNDATION OF OKLAHOMA,73-1454087,,,
Missouri State Employees Charitable Campaign (MSECC),,https://msecc.mo.gov//,,
Mitsubishi International Corporation Foundation,13-3676166,,212-6051111,
Monterey Bay,,,,MacDillesc@yahoo.com
Moody AFB,,,,harandra@gmail.com
Moore for Kids,,,,
Mountain Home AFB,,,,
Mudge Foundation 4942-0,25-6023150,,,
Murad Family Foundation,45-1585141,,,
MUSHROOM FESTIVAL INC,22-2714152,http://WWW.MUSHROOMFESTIVAL.ORG,,
MWD,,,,
MWL USA,,,,
Myra Foundation,45-0215088,,,
NAS Mayport,,,,
NAS Newport,,,,oscalbanyga@yahoo.com
NAS Patuxent River,,,,mgosc.charitable@gmail.com
NAS Pearl Harbor,,,,info@travisosc.com
Nash County Juvenile Crime Prevention Council,,,,
"National Institutes of Health (NIH), Department of Health and Human Services (HHS)",,,,
National Marine Sanctuary Foundation,94-3370994,,301-608-3040,
National Summer Learning Association,,http://www.summerlearning.org/excellence-awards/,,
